waktu,filtering,tweets,polarity_score,polarity
2022-04-01 06:56:20,"['ib', 'kapasitas', 'ibadah', 'ppkm', 'level', 'lawan', 'pandemi']",ib kapasitas ibadah ppkm level lawan pandemi,-1,0
2022-04-01 06:55:22,"['kapasitas', 'ibadah', 'ppkm', 'level', 'lawan', 'pandemi']",kapasitas ibadah ppkm level lawan pandemi,-1,0
2022-04-01 06:53:24,"['iya', 'gembargembor', 'ppkm', 'level', '']",iya gembargembor ppkm level ,0,1
2022-04-01 06:52:24,"['ppkm', 'yuuuk', 'bangkit', 'kenang', 'ppkmny', 'selesai', '']",ppkm yuuuk bangkit kenang ppkmny selesai ,1,1
2022-04-01 06:50:12,"['karanganyar', 'jumat', 'april', 'serka', 'andreas', 'serda', 'supriyadi', 'anggota', 'koramil', 'karangpandan', 'laksana']",karanganyar jumat april serka andreas serda supriyadi anggota koramil karangpandan laksana,-1,0
2022-04-01 06:47:05,"['didu', 'informal', 'tahun', 'mati', 'om', 'ppkm', 'bom', 'migor', 'ppn']",didu informal tahun mati om ppkm bom migor ppn,-1,0
2022-04-01 06:44:15,"['jabodetabek', 'ppkm', 'level', 'giat', 'ibadat', 'ramadan', 'maksimal', 'kapasitas', '']",jabodetabek ppkm level giat ibadat ramadan maksimal kapasitas ,10,1
2022-04-01 06:42:12,"['cegah', 'covid', 'areal', 'pasar', 'anggota', 'koramil', 'geyer', 'serma', 'wiyoto', 'laksana', 'patroli', 'disiplin', 'ppkm', 'level']",cegah covid areal pasar anggota koramil geyer serma wiyoto laksana patroli disiplin ppkm level,2,1
2022-04-01 06:40:05,"['lamongan', 'level', 'laksana', 'persen', 'patuh', 'protokol', 'sehat']",lamongan level laksana persen patuh protokol sehat,9,1
2022-04-01 06:37:52,"['level', 'kapasitas', 'rumah', 'ibadah']",level kapasitas rumah ibadah,7,1
2022-04-01 06:35:57,"['sertu', 'saiful', 'babinsa', 'ds', 'ngandul', 'laksana', 'giat', 'patroli', 'gabung', 'polsek', 'sumberlawang', 'rangka', 'pel']",sertu saiful babinsa ds ngandul laksana giat patroli gabung polsek sumberlawang rangka pel,-3,0
2022-04-01 06:32:08,"['jabodetabek', 'ppkm', 'level', 'giat', 'ibadat', 'ramadan', 'maksimal']",jabodetabek ppkm level giat ibadat ramadan maksimal,7,1
2022-04-01 06:28:52,"['sholat', 'jalan', 'ngaji', 'trotoar', 'gilir', 'masjid', 'tutup', 'ppkm', 'teriak', 'kenceng']",sholat jalan ngaji trotoar gilir masjid tutup ppkm teriak kenceng,2,1
2022-04-01 06:25:07,"['ppkm', 'level', '']",ppkm level ,0,1
2022-04-01 06:17:22,"['sukabumi', 'admin', 'bijak', 'ganjil', 'genap', 'sukabumi', 'ppkm']",sukabumi admin bijak ganjil genap sukabumi ppkm,-4,0
2022-04-01 06:17:04,"['didu', 'didu', 'akibat', 'perintah', 'bansos', 'ppkm', 'said', 'didu', 'ratus', 'trilyun', 'rupiah']",didu didu akibat perintah bansos ppkm said didu ratus trilyun rupiah,-2,0
2022-04-01 06:13:41,"['survey', 'picek', 'om', 'rakyat', 'makan', 'kulit', 'singkong', 'rakyat', 'puas', 'rezim', 'ppkm', 'planga']",survey picek om rakyat makan kulit singkong rakyat puas rezim ppkm planga,3,1
2022-04-01 06:10:23,"['isu bohong', 'bijak', 'ppkm', 'level', 'resmi', 'hapus', 'via']",isu bohong bijak ppkm level resmi hapus via,-2,0
2022-04-01 06:08:22,['ppkm'],ppkm,0,1
2022-04-01 06:07:16,"['ppkm', 'plonga', 'plongo', 'kaya', 'monyet']",ppkm plonga plongo kaya monyet,-3,0
2022-04-01 06:05:33,"['user', 'pacarjuyeon', 'ppkm', 'era', '']",user pacarjuyeon ppkm era ,0,1
2022-04-01 06:01:06,"['perintah', 'kota', 'perintah kota', 'jayapura', 'papua', 'gencar', 'vaksinasi', 'lanjut usia', 'lanjut usia', 'turun', 'terap', 'batas', 'kegi']",perintah kota perintah kota jayapura papua gencar vaksinasi lanjut usia lanjut usia turun terap batas kegi,-12,0
2022-04-01 05:59:20,"['longgar', 'atur', 'ppkm', 'kapasitas', 'ibadah', 'ppkm', 'level', 'ayo', 'dukung', 'jok']",longgar atur ppkm kapasitas ibadah ppkm level ayo dukung jok,18,1
2022-04-01 05:48:15,"['menteri', 'agama', 'kapasitas', 'ibadah', 'daerah', 'kondisi', 'ppkm', 'level']",menteri agama kapasitas ibadah daerah kondisi ppkm level,4,1
2022-04-01 05:47:19,"['satpol', 'pulang pergi', 'kabupaten', 'grobogan', 'patroli', 'awas', 'ppkm', 'level', 'protokol', 'sehat', 'kendali', 'covid']",satpol pulang pergi kabupaten grobogan patroli awas ppkm level protokol sehat kendali covid,6,1
2022-04-01 05:44:25,"['anggota', 'koramil', 'karangmalang', 'rutin', 'laksana', 'giat', 'patroli', 'rangka', 'laksana', 'ppkm', 'level', 'iii', 'batas', 'mo']",anggota koramil karangmalang rutin laksana giat patroli rangka laksana ppkm level iii batas mo,-4,0
2022-04-01 05:40:12,"['anggota', 'koramil', 'kalijambe', 'laksana', 'patroli', 'gabung', 'rangka', 'laksana', 'ppkm', 'level', 'iii', 'batas', 'mo']",anggota koramil kalijambe laksana patroli gabung rangka laksana ppkm level iii batas mo,-9,0
2022-04-01 05:38:19,"['dki', 'bansos', 'covid', 'larang', 'rumah', 'via', 'psbbppkm', 'leve']",dki bansos covid larang rumah via psbbppkm leve,-3,0
2022-04-01 05:24:33,"['sepat', 'anggota', 'patroli', 'polsek', 'sepat', 'pimpin', 'padal', 'iptu', 'sri', 'suyatno', 'personil', 'piket', 'fungsi', 'polse']",sepat anggota patroli polsek sepat pimpin padal iptu sri suyatno personil piket fungsi polse,-1,0
2022-04-01 05:21:57,"['id', 'menag', 'yaqut', 'cholil', 'qoumas', 'surat', 'edar', 'nomor', 'tahun', 'surat', 'isi', 'laksana']",id menag yaqut cholil qoumas surat edar nomor tahun surat isi laksana,-1,0
2022-04-01 05:20:09,"['anggota', 'koramil', 'tb', 'laksana', 'pantau', 'sosialisasi', 'ppkm', 'skala', 'mikro', 'cegah', 'sebar']",anggota koramil tb laksana pantau sosialisasi ppkm skala mikro cegah sebar,-4,0
2022-04-01 05:15:29,"['gabut', 'bikin', 'oa', 'ayo', 'biar', 'ppkm']",gabut bikin oa ayo biar ppkm,-1,0
2022-04-01 05:13:02,"['kapasitas', 'ibadah', 'kabupatenkota', 'ppkm', 'level', 'giat', 'agama', '']",kapasitas ibadah kabupatenkota ppkm level giat agama ,4,1
2022-04-01 05:11:11,"['kantor wilayah', 'kemenkumham', 'sumsel', 'sekretaris jenderal', 'kemenkumham', 'komjen', 'pol', 'andap', 'budhi', 'revianto', 'arah', 'kait', 'perpa']",kantor wilayah kemenkumham sumsel sekretaris jenderal kemenkumham komjen pol andap budhi revianto arah kait perpa,-5,0
2022-04-01 05:06:22,"['neng', 'maguwo', 'nobare', 'dibatalne', 'alesan', 'ppkm', 'tridadi', 'beda', 'he']",neng maguwo nobare dibatalne alesan ppkm tridadi beda he,2,1
2022-04-01 05:00:52,"['menteri', 'agama', 'yaqut', 'cholil', 'ibadah', 'ppkm', 'level', 'kapasitas', 'me']",menteri agama yaqut cholil ibadah ppkm level kapasitas me,4,1
2022-04-01 04:59:35,"['menteri', 'agama', 'yaqut', 'cholil', 'kapasitas', 'ibadah', 'ppkm', 'level', 'terap', 'prokes']",menteri agama yaqut cholil kapasitas ibadah ppkm level terap prokes,4,1
2022-04-01 04:59:21,"['anggota', 'koramil', 'nguter', 'laksana', 'tega', 'disiplin', 'protokoler', 'sehat', 'ppkm', 'level', 'iii', 'wilayah', 'camat', 'nguter']",anggota koramil nguter laksana tega disiplin protokoler sehat ppkm level iii wilayah camat nguter,-2,0
2022-04-01 04:57:49,"['kapasitas', 'ibadah', 'ppkm', 'level']",kapasitas ibadah ppkm level,7,1
2022-04-01 04:55:16,"['covid', 'tinggi', 'kota', 'malang', 'ppkm', 'level']",covid tinggi kota malang ppkm level,-5,0
2022-04-01 04:53:09,"['dukung', 'ppkm', 'mikro', 'cepat', 'vaksinasi']",dukung ppkm mikro cepat vaksinasi,1,1
2022-04-01 04:51:37,"['rapat', 'koordinasi', 'ppkm', 'mikro', 'kabupaten', 'rembang']",rapat koordinasi ppkm mikro kabupaten rembang,-4,0
2022-04-01 04:51:12,"['anggota', 'koramil', 'andong', 'laksana', 'patroli', 'ppkm', 'wilayah', 'camat', 'andong']",anggota koramil andong laksana patroli ppkm wilayah camat andong,-1,0
2022-04-01 04:44:10,"['anggota', 'koramil', 'gesi', 'laksana', 'patroli', 'ppkm', 'level', 'iii', 'batas', 'mobilitas', 'gera', 'masyarakat', 'wilayah']",anggota koramil gesi laksana patroli ppkm level iii batas mobilitas gera masyarakat wilayah,-4,0
2022-04-01 04:40:46,"['sektor', 'industri', 'rugi', 'april', 'efek', 'solar', 'naikbahan', 'baku', 'naikkesulit']",sektor industri rugi april efek solar naikbahan baku naikkesulit,-4,0
2022-04-01 04:37:38,"['ribet', 'betfordeal', 'mudah', 'main', 'anti', 'alias', 'pindah', 'pindah', 'kredit', 'melulu', 'stay', 'tune', 'and', 'get']",ribet betfordeal mudah main anti alias pindah pindah kredit melulu stay tune and get,-10,0
2022-04-01 04:37:31,"['unggul', 'fitur', 'seamless', 'wallet', 'hadir', 'betfordeal', 'nyaman', 'aman', 'main', 'ad']",unggul fitur seamless wallet hadir betfordeal nyaman aman main ad,3,1
2022-04-01 04:37:16,"['seamless', 'wallet', 'ribet', 'pindah', 'pindah', 'kredit', 'melulu', 'ganti', 'main', 'bukti']",seamless wallet ribet pindah pindah kredit melulu ganti main bukti,-14,0
2022-04-01 04:37:05,"['sambut', 'weekend', 'alam', 'coba', 'fitur', 'unggul', 'multiwindows', 'betfordeal', 'anti', 'pindahpi']",sambut weekend alam coba fitur unggul multiwindows betfordeal anti pindahpi,3,1
2022-04-01 04:35:59,"['gaya', 'artis', 'pakai', 'brand', 'designer', 'betfordeal', 'wujud', 'impi', 'main', 'games', 'seru', 'cek']",gaya artis pakai brand designer betfordeal wujud impi main games seru cek,0,1
2022-04-01 04:33:10,"['personil', 'sat', 'lantas', 'polres', 'sibolga', 'laksana', 'giat', 'ppkm', 'mikro', 'himbauan', 'protokol', 'sehat']",personil sat lantas polres sibolga laksana giat ppkm mikro himbauan protokol sehat,0,1
2022-04-01 04:32:30,"['sd', 'wib', 'babinsa', 'koramil', 'musuk', 'tamansari', 'pimpin', 'babinsa', 'ds', 'sumur', 'sertu', 'sigit', 'pramon']",sd wib babinsa koramil musuk tamansari pimpin babinsa ds sumur sertu sigit pramon,0,1
2022-04-01 04:27:37,"['jumat', 'april', 'pkl', 'wib', 'sd', 'selesai', 'pasar', 'jagal', 'banjaroyo', 'kalubawang', 'personil', 'polsek', 'kalibawang']",jumat april pkl wib sd selesai pasar jagal banjaroyo kalubawang personil polsek kalibawang,4,1
2022-04-01 04:25:00,"['atur', 'ibadah', 'ramadhan', 'longgar', 'atur', 'ibadah', 'ramadhan']",atur ibadah ramadhan longgar atur ibadah ramadhan,11,1
2022-04-01 04:24:32,"['cocot', 'masyarakat', 'kasih', 'kelonggaranmasih', 'bnyak', 'cengkuneknya', 'larang']",cocot masyarakat kasih kelonggaranmasih bnyak cengkuneknya larang,-2,0
2022-04-01 04:24:19,"['entrance', 'ekor']",entrance ekor,-3,0
2022-04-01 04:23:35,"['atur', 'ibadah', 'ramadhan', 'longgar', 'atur', 'ibadah', 'ramadhan', '']",atur ibadah ramadhan longgar atur ibadah ramadhan ,11,1
2022-04-01 04:20:57,"['jumat', 'tanggal', 'april', 'babinsa', 'punggawan', 'koramil', 'banjarsari', 'serka', 'junaidi', 'laksana', 'kece']",jumat tanggal april babinsa punggawan koramil banjarsari serka junaidi laksana kece,0,1
2022-04-01 04:16:08,"['id', 'nyanya', 'pomkatanya', 'kuota', 'covidb']",id nyanya pomkatanya kuota covidb,-2,0
2022-04-01 04:14:30,"['notice', 'ya sudah', 'iya', 'diperhatiin', 'iya', 'iya', 'kayak', 'kotor', 'giat']",notice ya sudah iya diperhatiin iya iya kayak kotor giat,-8,0
2022-04-01 04:07:44,"['cocok', 'ppkm']",cocok ppkm,1,1
2022-04-01 04:05:45,"['play', 'victim', 'skg', 'bebas', 'ibadah', 'mudik', 'jumat', 'waktu', 'ppkm']",play victim skg bebas ibadah mudik jumat waktu ppkm,-1,0
2022-04-01 03:57:33,"['giat', 'ppkm', 'skala', 'mikro', 'satlantas', 'polres', 'oku', 'selatan']",giat ppkm skala mikro satlantas polres oku selatan,-3,0
2022-04-01 03:49:55,"['ppkm', 'level']",ppkm level,0,1
2022-04-01 03:49:12,"['hei', 'simulasi', 'lrp', 'cari', 'teman', 'friendless', 'ngomong ngomong', 'lee', 'hyunjae', 'ma']",hei simulasi lrp cari teman friendless ngomong ngomong lee hyunjae ma,-3,0
2022-04-01 03:47:34,"['ppkm', 'sleepover']",ppkm sleepover,0,1
2022-04-01 03:47:22,"['ri', 'sebentar', 'umat', 'muslim', 'pasuk', 'ramadan', 'atur', 'jemaah', 'ibadah', 'mari', 'simak', 'jel']",ri sebentar umat muslim pasuk ramadan atur jemaah ibadah mari simak jel,8,1
2022-04-11 10:47:28,"['johnny', 'wonpil', 'june', 'hwasa', 'nama', 'grup', 'ppkm', 'korea', 'medan']",johnny wonpil june hwasa nama grup ppkm korea medan,-4,0
2022-04-11 10:46:00,"['ppkm', 'pemuda', 'kaya', 'melintir']",ppkm pemuda kaya melintir,1,1
2022-04-11 10:44:11,"['ppkm', 'anjenk', 'wkwkwkkkkkk', '']",ppkm anjenk wkwkwkkkkkk ,0,1
2022-04-11 10:42:09,"['satgas', 'covid', 'target', 'level', 'ppkm', 'jatim']",satgas covid target level ppkm jatim,0,1
2022-04-11 10:39:07,"['hadir', 'boss', 'mega', 'win', 'jackpot', 'juta', 'rupiah', 'menang', 'extra', 'and']",hadir boss mega win jackpot juta rupiah menang extra and,0,1
2022-04-11 10:36:23,"['juara', 'langgar', 'ppkm']",juara langgar ppkm,0,1
2022-04-11 10:20:29,"['ahahahahahahahaha', '', 'duta', 'ppkm']",ahahahahahahahaha  duta ppkm,0,1
2022-04-11 10:20:00,"['ciduk', 'satpol', 'pas', 'ppkm']",ciduk satpol pas ppkm,3,1
2022-04-11 10:13:04,"['nama', 'grup', 'wanya', 'ppkm', 'squad']",nama grup wanya ppkm squad,-4,0
2022-04-11 10:10:09,"['kopit', 'ppkm', 'gaboleh', 'mudik', 'salah', 'perintah', '']",kopit ppkm gaboleh mudik salah perintah ,-11,0
2022-04-11 10:04:34,"['satpol', 'pulang pergi', 'kabupaten', 'grobogan', 'awas', 'ppkm', 'level', 'protokol', 'sehat', 'kendali', 'covid', 'wilayah']",satpol pulang pergi kabupaten grobogan awas ppkm level protokol sehat kendali covid wilayah,4,1
2022-04-11 09:51:03,"['hhhh', 'level', 'ppkm', 'turun', 'tanda', 'lebaran', 'anjang', 'sanasini', 'just', 'dont', 'want', 'it']",hhhh level ppkm turun tanda lebaran anjang sanasini just dont want it,-4,0
2022-04-11 09:46:35,"['anggota', 'koramil', 'sumberlawang', 'laksana', 'giat', 'patroli', 'gabung', 'rangka', 'laksana', 'ppkm', 'level', 'bata']",anggota koramil sumberlawang laksana giat patroli gabung rangka laksana ppkm level bata,-6,0
2022-04-11 09:45:28,"['wonwoo', 'young', 'jaebom', 'jin', 'nama', 'groupnya', 'ppkm', 'pria', 'sayang', 'mertua']",wonwoo young jaebom jin nama groupnya ppkm pria sayang mertua,-3,0
2022-04-11 09:44:33,"['anggota', 'koramil', 'ngrampal', 'laksana', 'patroli', 'ppkm', 'level', 'ii', 'wilayah', 'camat', 'ngrampal']",anggota koramil ngrampal laksana patroli ppkm level ii wilayah camat ngrampal,-1,0
2022-04-11 09:41:51,"['anggota', 'koramil', 'kalijambe', 'laksana', 'patroli', 'rangka', 'laksana', 'ppkm', 'level', 'ii', 'batas', 'mobilitas', 'pe']",anggota koramil kalijambe laksana patroli rangka laksana ppkm level ii batas mobilitas pe,-4,0
2022-04-11 09:34:30,"['anggota', 'koramil', 'tanon', 'laksana', 'patroli', 'rangka', 'laksana', 'ppkm', 'level', 'ii', 'batas', 'mobilitas', 'pin']",anggota koramil tanon laksana patroli rangka laksana ppkm level ii batas mobilitas pin,-4,0
2022-04-11 09:34:21,"['anggota', 'koramil', 'karangmalang', 'rutin', 'laksana', 'giat', 'patroli', 'rangka', 'laksana', 'ppkm', 'level', 'ii', 'batas', 'mob']",anggota koramil karangmalang rutin laksana giat patroli rangka laksana ppkm level ii batas mob,-4,0
2022-04-11 09:33:41,"['lulu', 'vaksin', 'biar', 'mudik', 'mall', 'kayak', 'pas', 'level', 'ppkm', 'mu']",lulu vaksin biar mudik mall kayak pas level ppkm mu,-3,0
2022-04-11 09:26:30,"['malam', 'belah', 'rumah', 'tukang', 'sate', 'ppkm', 'gaboleh', 'sate', 'bakar', 'do']",malam belah rumah tukang sate ppkm gaboleh sate bakar do,-14,0
2022-04-11 09:24:58,"['covid', 'muncul', 'biar', 'ppkm', 'mahasiswa', 'tolak', 'ptm']",covid muncul biar ppkm mahasiswa tolak ptm,-6,0
2022-04-11 09:22:31,"['senin', 'tanggal', 'april', 'pkl', 'wib', 'sd', 'selesaianggota', 'koramil', 'kalijambe', 'laksana', 'patroli']",senin tanggal april pkl wib sd selesaianggota koramil kalijambe laksana patroli,-2,0
2022-04-11 09:17:57,"['anggota', 'koramil', 'sidoharjo', 'laksana', 'giat', 'patroli', 'gabung', 'polsek', 'trantib', 'sidoharjo', 'rangka']",anggota koramil sidoharjo laksana giat patroli gabung polsek trantib sidoharjo rangka,-6,0
2022-04-11 09:13:23,"['tugas', 'gabung', 'kodim', 'pinrang', 'polres', 'pinrang', 'satpo', 'pulang pergi', 'kabupaten', 'pinrang', 'gencar', 'laksana']",tugas gabung kodim pinrang polres pinrang satpo pulang pergi kabupaten pinrang gencar laksana,-6,0
2022-04-11 09:06:36,"['zoom', 'kadang', 'pas', 'ppkm', 'kenal', 'bahas', 'materi', 'paskib', 'kaya', 'prinsip', 'dasar']",zoom kadang pas ppkm kenal bahas materi paskib kaya prinsip dasar,9,1
2022-04-11 09:03:04,"['sauya', 'nbil', 'sasall', '']",sauya nbil sasall ,0,1
2022-04-11 09:01:39,"['ppkm', 'sialakashsisuwushahhahssh']",ppkm sialakashsisuwushahhahssh,0,1
2022-04-11 09:00:07,"['bnrn', 'ppkm']",bnrn ppkm,0,1
2022-04-11 08:59:47,"['pkl', 'wib', 'sd', 'selesai', 'laksana', 'giat', 'patroli', 'rangka', 'laksana', 'ppkm', 'level', 'ii', 'batas', 'mo']",pkl wib sd selesai laksana giat patroli rangka laksana ppkm level ii batas mo,1,1
2022-04-11 08:56:08,"['ppkm', 'ababanana']",ppkm ababanana,0,1
2022-04-11 08:53:57,"['cafe', 'tutup', 'langgar', 'atur', 'ppkm']",cafe tutup langgar atur ppkm,-2,0
2022-04-11 08:53:41,"['jakarta', 'ppkm']",jakarta ppkm,0,1
2022-04-11 08:50:49,"['suasana', 'ppkm', 'level', 'camat', 'mijen', 'babinsa', 'pilar', 'kompak', 'pelaks', 'tugas']",suasana ppkm level camat mijen babinsa pilar kompak pelaks tugas,3,1
2022-04-11 08:50:21,"['jabodetabek', 'lvl', 'anak', 'pcr', 'swastaqrain', 'wa', 'kemenkes', 'free', 'paket', 'multivitaminobatnya']",jabodetabek lvl anak pcr swastaqrain wa kemenkes free paket multivitaminobatnya,7,1
2022-04-11 08:49:21,"['ppkm', 'pelan', 'pelan', 'meni']",ppkm pelan pelan meni,2,1
2022-04-11 08:47:46,"['geng', 'ppkm']",geng ppkm,0,1
2022-04-11 08:32:04,"['indri', 'maaf', 'ketidaknyamannya', 'hubung', 'tanggap', 'covid', 'ppkm', 'level', '']",indri maaf ketidaknyamannya hubung tanggap covid ppkm level ,0,1
2022-04-11 08:24:19,"['terang', 'keliling', 'himbau', 'prokes', 'sosialisasi', 'inmendagri', 'nomor', 'tahun', 'kait', 'ppkm', 'prokes', 'polres']",terang keliling himbau prokes sosialisasi inmendagri nomor tahun kait ppkm prokes polres,0,1
2022-04-11 08:23:38,"['indonesia', 'official']",indonesia official,0,1
2022-04-11 08:20:43,"['djpbkemenkeuri', 'ppkm', 'darurat', 'juli', 'bijak', 'perintah', 'dampak', 'pa']",djpbkemenkeuri ppkm darurat juli bijak perintah dampak pa,-12,0
2022-04-11 08:19:01,"['ppkm', 'puasa', 'buka', 'meureuuun']",ppkm puasa buka meureuuun,-2,0
2022-04-11 08:13:26,"['transjakarta', 'sahabat', 'tije', 'senin', 'april', 'layan', 'transjakarta', 'sesuai', 'jam', 'operasiona']",transjakarta sahabat tije senin april layan transjakarta sesuai jam operasiona,3,1
2022-04-11 08:11:04,"['jakarta', 'mudik', 'kampung', 'tahun', 'ppkm']",jakarta mudik kampung tahun ppkm,-3,0
2022-04-11 08:10:12,"['circle', 'ppkm']",circle ppkm,0,1
2022-04-11 08:09:28,"['username', 'chcohazelnut', 'meet', 'cowo', 'kos', 'izin', 'sebentar', 'beli', 'makan', 'minum']",username chcohazelnut meet cowo kos izin sebentar beli makan minum,-10,0
2022-04-11 08:08:41,"['rok', 'ketat', 'banget', 'kayak', 'atur', 'ppkm']",rok ketat banget kayak atur ppkm,-6,0
2022-04-11 08:06:08,"['jokes', 'ppkm', 'funny', 'and', 'relevant', 'virus', 'wkwkkwk']",jokes ppkm funny and relevant virus wkwkkwk,0,1
2022-04-11 08:01:15,"['ppkm', 'darurat', 'juli', 'bijak', 'perintah', 'dampak', 'tingkat']",ppkm darurat juli bijak perintah dampak tingkat,-6,0
2022-04-11 07:59:21,"['asmara', 'wargajakarta', 'bahagia', 'psbbampppkm', 'tahun', 'shingga', 'targetvaksinampsyarat', 'ser']",asmara wargajakarta bahagia psbbampppkm tahun shingga targetvaksinampsyarat ser,1,1
2022-04-11 07:57:59,"['anggota', 'koramil', 'tangen', 'laksana', 'giat', 'patroli', 'gabung', 'polsek', 'tangen', 'laksana', 'ppkm', 'level', 'ii']",anggota koramil tangen laksana giat patroli gabung polsek tangen laksana ppkm level ii,-6,0
2022-04-11 07:54:39,"['pemuda', 'ciduk', 'langgar', 'ppkm']",pemuda ciduk langgar ppkm,1,1
2022-04-11 07:49:18,"['libur', 'dewee', 'akuu', 'agee', 'wes', 'kakak', 'selagi', 'ppkm']",libur dewee akuu agee wes kakak selagi ppkm,1,1
2022-04-11 07:46:55,"['laksana', 'giat', 'operasi', 'yustisipenyekatan', 'laksana', 'ppkm', 'level', 'batas', 'mobilitas', 'pindah']",laksana giat operasi yustisipenyekatan laksana ppkm level batas mobilitas pindah,-4,0
2022-04-11 07:46:03,"['ganti', 'ppkm']",ganti ppkm,0,1
2022-04-11 07:40:50,"['karanganyar', 'senin', 'april', 'pelda', 'suwarso', 'anggota', 'koramil', 'matesih', 'melakskan', 'patroli', 'ppkm', 'level', 'memba']",karanganyar senin april pelda suwarso anggota koramil matesih melakskan patroli ppkm level memba,-1,0
2022-04-11 07:36:43,"['giat', 'patroli', 'rangka', 'laksana', 'ppkm', 'level', 'ii', 'batas', 'mobilitas', 'pindah', 'masyarakat']",giat patroli rangka laksana ppkm level ii batas mobilitas pindah masyarakat,-3,0
2022-04-11 07:28:33,"['karanganyar', 'senin', 'april', 'serda', 'sudarno', 'anggota', 'koramil', 'mojogedang', 'anggota', 'satpol', 'pulang pergi', 'camat', 'mojoge']",karanganyar senin april serda sudarno anggota koramil mojogedang anggota satpol pulang pergi camat mojoge,-6,0
2022-04-11 07:25:46,"['wib', 'sd', 'selesai', 'laksana', 'giat', 'operasi', 'gabung', 'yustisipenyekatan', 'ppkm', 'level', 'ii', 'bata']",wib sd selesai laksana giat operasi gabung yustisipenyekatan ppkm level ii bata,-2,0
2022-04-11 07:24:27,"['anggota', 'koramil', 'tanon', 'laksana', 'giat', 'patroli', 'laksana', 'ppkm', 'level', 'ii', 'batas', 'mobilitas', 'pindah']",anggota koramil tanon laksana giat patroli laksana ppkm level ii batas mobilitas pindah,-6,0
2022-04-11 07:24:02,"['risma', 'ppkm']",risma ppkm,0,1
2022-04-11 07:20:33,"['ppkm', 'level', 'aktif', 'pekanbaru', 'alami', 'turun']",ppkm level aktif pekanbaru alami turun,-6,0
2022-04-11 07:11:04,"['longgar', 'ppkm', 'operasi', 'yustisi', 'gabung', 'pati']",longgar ppkm operasi yustisi gabung pati,-3,0
2022-04-11 07:10:49,"['kodim', 'karanganyar', 'koramil', 'tawangmangu', 'sertu', 'takut', 'anggota', 'koramil', 'laksana', 'patroli', 'pe']",kodim karanganyar koramil tawangmangu sertu takut anggota koramil laksana patroli pe,-4,0
2022-04-11 07:03:27,"['kodim', 'karanganyar', 'koramil', 'tawangmangu', 'koptu', 'joko', 'susilo', 'anggota', 'koramil', 'laksana', 'patroli', 'tegak']",kodim karanganyar koramil tawangmangu koptu joko susilo anggota koramil laksana patroli tegak,-1,0
2022-04-11 06:58:49,"['jaka', 'sembung', 'kodok', 'ngak', 'nyambung', 'blekok', 'urus', 'jual']",jaka sembung kodok ngak nyambung blekok urus jual,-4,0
2022-04-11 06:53:25,"['jakarta', 'ppkm', 'iya', '']",jakarta ppkm iya ,0,1
2022-04-11 06:53:18,"['dinas', 'hubung', 'dki', 'jakarta', 'catat', 'tingkat', 'volume', 'lintas', 'pe']",dinas hubung dki jakarta catat tingkat volume lintas pe,-1,0
